guid,fire_dept_name,hq_addr_1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,organization_type,website,number_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,non_firefighting_civilian,non_firefighting_volunteer,primary_agency_for_em
1,#9 Area Volunteer Fire Department,Route 1 Box 63 FD,,Eufaux,OK,74432,Route 1 Box 63 FD,,,Eufaux,OK,74432,(918) 452-3763,,MCINTOSH                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,2,
2,101 Gamaliel Fire Protection District,5012 101 HWY,PO Box 30,Gamaliel,AR,72537,,,PO Box 30,Gamaliel,AR,72537-0030,870-467-5455,870-467-5572,BAXTER                   ,Volunteer,Local (includes career  combination  and volunteer),http://www.localfirehouse.com/department/3.html,1,0,20,0,0,8,0
3,103CES Fire Department CTANG,100 Nicholson RD,,East Granby,CT,6026,100 Nicholson RD,,,East Granby,CT,06026-9309,860-292-2525,860-292-2471,HARTFORD                 ,Mostly Volunteer,Federal Government - DOD,,1,13,33,0,0,0,1
4,104th FW Barnes ANG Fire/Rescue,175 Falcon DR,104th FW Barnes ANGB,Westfield,MA,1085,175 Falcon DR,104th FW Barnes ANGB,,Westfield,MA,1085,(413) 568-9151,(413) 572-1578,HAMPDEN                  ,Career,Federal Government - DOD,,1,43,0,0,0,5,
5,11 Point Rural Fire Association,908 E Business RT 60-63,,Willow Springs,MO,65793-3432,908 E Business RT 60-63,,,Willow Springs,MO,65793-3432,(417) 469-9111,(417) 469-9111,HOWELL                   ,Volunteer,Local (includes career  combination  and volunteer),,3,0,37,0,0,11,
6,111th Fighter Wing PaANG,2164 McGuire ST,111th CES/CEF,Willow Grove,PA,19090-5232,2164 McGuire ST,111th CES/CEF,,Willow Grove,PA,19090-5232,215-443-1496,215-443-1871,MONTGOMERY               ,Career,Federal Government - DOD,,1,27,0,0,0,0,
7,119th CES/CEF,1400 28th AVE,,FARGO,ND,58102-1052,1400 28th AVE,,,FARGO,ND,58102-1052,(701) 451-2220,(701) 451-2162,CASS                     ,Career,Federal Government - DOD,,1,24,0,0,0,0,
8,131st Fighter Wing Fire Protection,10800 Lambert International BLVD,Stop 28,Bridgeton,MO,63044-2371,10800 Lambert International BLVD,Stop 28,,Bridgeton,MO,63044-2371,(314) 263-6315,(314) 263-6353,SAINT LOUIS              ,Mostly Volunteer,Federal Government - DOD,,1,1,0,26,0,0,
9,134th CES/CEF Tennessee Air National Guard,124 Briscoe DR,,McGhee Tyson ANG Base,TN,37777,124 Briscoe DR,,,McGhee Tyson ANG Base,TN,37777,865-985-3316,865-985-3381,BLOUNT                   ,Career,Federal Government - DOD,,1,24,0,0,0,0,
10,143rd Airlift Wing Fire  Emergency Services,11 Flightline DR,,North Kingstown,RI,2852,11 Flightline DR,,,North Kingstown,RI,2852,401-886-1300,401-886-0056,WASHINGTON               ,Mostly Volunteer,Federal Government - DOD,,1,24,0,36,0,0,1
11,148th CES Fire Department,4630 Mustang DR,,Duluth,MN,55811-6036,4630 Mustang DR,,,Duluth,MN,55811-6036,(218) 788-7434,(218) 788-7468,SAINT LOUIS              ,Mostly Career,Federal Government - DOD,,1,25,0,15,0,0,
12,151 CES/CEF Utah Air National Guard Fire Department,765 N 2200 W,,Salt Lake City,UT,84116-2926,765 N 2200 W,,,Salt Lake City,UT,84116-2926,801-245-2186,801-245-2185,SALT LAKE                ,Career,Federal Government - DOD,,1,29,0,0,0,0,
13,156th CES/Fire Dept,200 AVE Jose A. Santana,,Carolina,PR,00979-1502,200 AVE Jose A. Santana,,,Carolina,PR,00979-1502,(787) 253-5222,(787) 253-7596,CAROLINA                 ,Career,Federal Government - DOD,,1,11,0,0,0,0,
14,16 Springs Canyon Volunteer Fire Department,764 16 Springs Canyon RD,,Cloudcroft,NM,88317,764 16 Springs Canyon RD,,,Cloudcroft,NM,88317-9403,575-687-4098,575-687-4098,OTERO                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,10,1
15,161st Air National Guard,3200 E Old Tower RD,,Phoenix,AZ,85034,3200 E Old Tower RD,,,Phoenix,AZ,85034,(602) 302-9232,,MARICOPA                 ,Career,Federal Government - DOD,,1,26,0,0,0,0,
16,162 Fighter Wing Fire Department,1400 E Super Sabre DR,162 CES/CEF,Tucson,AZ,85706-6052,1400 E Super Sabre DR,162 CES/CEF,,Tucson,AZ,85706-6052,(520) 295-6161,(520) 295-6718,PIMA                     ,Mostly Career,Federal Government - DOD,,1,25,0,9,0,0,
17,165th Airlift Wing Fire Department,1401 Robert B. Miller Jr.  DR,,Garden City,GA,31408-9001,1401 Robert B. Miller Jr.  DR,,,Garden City,GA,31408-9001,(912) 966-8225,(912) 966-8644,CHATHAM                  ,Career,Federal Government - DOD,,2,51,0,0,0,0,
18,167 CES Fire Department,222 Sabre Jet BLVD,,Martinsburg,WV,25401-7704,222 Sabre Jet BLVD,,,Martinsburg,WV,25401-7704,(304) 262-5277,,BERKELEY                 ,Career,Federal Government - DOD,,1,30,0,0,0,0,
19,174 Fighter Wing Fire Department,6001 E Molloy RD,Bldg. 644,Syracuse,NY,13211-7099,6001 E Molloy RD,Bldg. 644,,Syracuse,NY,13211-7099,(315) 454-6660,(315) 454-6504,ONONDAGA                 ,Mostly Volunteer,Federal Government - DOD,,1,12,0,27,0,0,
20,180th Ohio Air National Guard Fire Department,2660 S Eber RD,,Swanton,OH,43558-8752,2660 S Eber RD,,,Swanton,OH,43558-8752,419-868-4116,419-868-4315,LUCAS                    ,Career,Federal Government - DOD,,1,40,0,0,0,0,
21,182nd AW Fire Department  Illinois Air National Guard,2401 S Falcon BLVD,,Peoria,IL,61607-5013,2401 S Falcon BLVD,,,Peoria,IL,61607-5013,(309) 633-5130,(309) 633-5528,PEORIA                   ,Career,Federal Government - DOD,http://Under Construction,1,28,0,0,0,0,
22,183d Fighter Wing Fire Department,3101 SW J. David Jones PKWY,Capital Airport,Springfield,IL,62707-5000,3101 SW J. David Jones PKWY,Capital Airport,,Springfield,IL,62707-5000,(217) 757-1391,(217) 757-1393,SANGAMON                 ,Career,Federal Government - DOD,,1,24,0,0,0,0,
23,185th Air Refueling Wing Fire Department,2920 Headquarters AVE,,Sioux City,IA,51111,2920 Headquarters AVE,,,Sioux City,IA,51111-1300,712-233-0774,712-233-0842,WOODBURY                 ,Career,Federal Government - DOD,,1,50,0,0,0,0,0
24,186 Air Refueling Wing Fire & Emergency Services Flight,6225 M ST,BLDG 155,Meridian,MS,39307-7222,6225 M ST,BLDG 155,,Meridian,MS,39307-7222,601-484-9742,601-484-9374,LAUDERDALE               ,Career,Federal Government - DOD,,1,64,0,0,0,0,
25,188th Fighter Wing Fire Department,4850 Leigh AVE,BLDG 201,Fort Smith,AR,72903,4850 Leigh AVE,BLDG 201,,Fort Smith,AR,72903-6018,479-573-5217,479-573-5141,SEBASTIAN                ,Career,Federal Government - DOD,,1,25,0,0,0,0,1
26,1st District VFD/ Colman Park Fire Dept,38 County Rd 308,,Iuka,MS,38859,38 County Rd 308,,,Iuka,MS,38859,(662) 423-9767,,PRENTISS                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,16,0,0,0,
27,231st Civil Engineering Flight - MO Air Guard,10800 Lambert International  BLVD,,St Louis,MO,63044,10800 Lambert International  BLVD,,,St Louis,MO,63044,(314) 527-6410,(314) 527-6412,SAINT LOUIS              ,Career,Federal Government - DOD,,1,3,0,0,0,0,
28,233rd Firefighting Team  CA Army National Guard,850 All America City BLVD,,Roseville,CA,95678-1594,850 All America City BLVD,,,Roseville,CA,95678-1564,916-782-8084,916-854-3024,PLACER                   ,Mostly Volunteer,Federal Government - DOD,,1,3,0,18,0,0,0
29,250 Volunteer Fire Department,HWY 250,,Waldron,AR,72958,,,PO Box 1153,Waldron,AR,72958,(479) 637-3443,,SCOTT                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,0,
30,2604 Volunteer Fire Department,319 FM 2604,,Whitney,TX,76692,,,PO Box 1784,Whitney,TX,76692-1784,254-694-4511,,HILL                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,13,0,0,7,
31,287 R/C Fire and Rescue,8616 S Highway 287,,Corsicana,TX,75109-0655,8616 S Highway 287,,,Corsicana,TX,75109-0655,(903) 874-5037,(903) 872-5102,NAVARRO                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,14,0,0,25,
32,3 Mile Corner VFD/  Scooba Dist # 1,Willie Gillespi C/O 3 Mile C,78-A,Scooba,MS,39358,Willie Gillespi C/O 3 Mile C,78-A,,Scooba,MS,39358,662-476-8264,,KEMPER                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,20,
33,3-G Volunteer Fire Company  Inc.,Blue RD,PO Box 112,Glenfield,NY,13345,Blue RD,,PO Box 112,Glenfield,NY,13345,(315) 376-2135,,LEWIS                    ,Volunteer,Local (includes career  combination  and volunteer),,2,0,42,0,0,0,
34,3-N-1 Volunteer Fire Department,142 High ST,,Rosanky,TX,78953,,,PO Box 51,Rosanky,TX,78953-0051,512-237-2893,,BASTROP                  ,Volunteer,501(c)(3) non-profit,http://www.3n1vfd.org,2,0,16,0,0,4,
35,4-Communities Fire Department,10901 Highway 98,PO Box 1625,Magnolia,AR,71754,,,PO Box 1625,Magnolia,AR,71754-1625,870-596-2517,,COLUMBIA                 ,Volunteer,Local (includes career  combination  and volunteer),,2,0,10,0,0,5,1
36,421 Area Emergency Services Volunteer Fire Department  Inc.,1758 Bristol Caverns HWY,,Bristol,TN,37620,1758 Bristol Caverns HWY,,,Bristol,TN,37620,423-878-0054,,SULLIVAN                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,0,
37,482 SPTG/CEF Fire Department,29050 Coral Sea BLVD,,Homestead ARB,FL,33039-1299,29050 Coral Sea BLVD,,,Homestead ARB,FL,33039-1299,(305) 224-7400,(305) 224-7705,MIAMI-DADE               ,Career,Federal Government - Executive Branch Agency,,1,54,0,0,0,0,
38,4th District Volunteer Fire Department,30 Boyd Harvey RD,,Jayess,MS,39641-8116,30 Boyd Harvey RD,,,Jayess,MS,39641-8116,601-876-2887,601-876-2887,WALTHALL                 ,Volunteer,Local (includes career  combination  and volunteer),,3,0,42,0,0,1,
39,7 Hickory-Morgan Fire Protection District,17508 E County Road 1400N,,Charleston,IL,61920-8472,17508 E County Road 1400N,,,Charleston,IL,61920-8472,(217) 348-6881,,COLES                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,18,0,0,0,
40,7 Twp and Westmoreland Fire Dept,510 Campbell ST,Jim Smith,Westmoreland,KS,66549,510 Campbell ST,Jim Smith,,Westmoreland,KS,66549,(785) 457-3736,,POTTAWATOMIE             ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,0,
41,79 East Volunteer Fire Department,5624 N US 79,,Palestine,TX,75801,5624 N US 79,,,Palestine,TX,75801,903-729-5645,,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,6,0,0,10,
42,7th Ward Volunteer Fire Department & Vermilion Parish Fire Prot. Dist. #7,20206 N LA Highway 82,,Abbeville,LA,70510,20206 N LA Highway 82,,,Abbeville,LA,70510-0373,337-893-8023,337-893-4983,VERMILION                ,Mostly Volunteer,Local (includes career  combination  and volunteer),,2,4,22,0,1,0,0
43,812 Volunteer Fire Department/EMS,1525 FM 812,PO Box 448,Cedar Creek,TX,78612,1525 FM 812,,PO Box 448,Cedar Creek,TX,78612,(512) 284-0747,(512) 601-1721,BASTROP                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,2,
44,84 East Volunteer Fire Department,160 ACR 385,,Palestine,TX,75801,160 ACR 385,,,Palestine,TX,75801,908-729-6627,,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,0,
45,9 Mile Ridge Volunteer Fire Department,6735 9 Mile Ridge RD,,Hardy,AR,72542,,,PO Box 1165,Hardy,AR,72542-1165,000-000-0000,,FULTON                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,2,1
46,90 CES/CEF F.E. Warren AFB,6205 10th Cavalry AVE,F.E. Warren AFB,Cheyenne,WY,82005,6205 10th Cavalry AVE,F.E. Warren AFB,,Cheyenne,WY,82005,307-773-2931,307-773-4462,LARAMIE                  ,Career,Federal Government - DOD,,2,53,0,0,2,0,
47,A & A Township Volunteer Fire Department  Inc.,6494 State Road 42,,Eminence,IN,46125,,,PO Box 225,Eminence,IN,46125-0225,765-528-2437,765-528-2169,MORGAN                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,20,0,0,10,1
48,A & M Volunteer Fire Department,2788 Old Highway 431,,Wedowee,AL,36278,4288 Old Highway 431,,,Wedowee,AL,36278-4316,256-357-0114,256-357-0114,RANDOLPH                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,0,
